RID,Act ID,"Establishment Name
Site City-State-Zip",County,Primary/Site NAICS,Receipt Date,Receipt Type,Formality,Insp ID,Addl' Code,Hazard Desc and Location,No Alleged Hazards/No Emp Exposed,weight,Industry_code
01-115-00,C-1590272,"Resources for Human Development, INC.
228 Cutler's Farm Road, MONROE, CONNECTICUT, 06468",FAIRFIELD,"621999 /
621999",2020-05-15,Phone,Nonformal,,N-16-COVID-19: ,"There is no established workplace policy on workers not coming in with flu symptoms and an employee has come in to work sick in April.

No policy has been communicated to employees regarding social distancing at work such as eating lunch in different areas and ways of minimizing personal contact in the workplace.

The employer has not provided employees with separate equipment such as blood pressure cuffs, to minimize cross contamination between employees.","3/
3",1,62
01-115-00,C-1591359,"Center for Transitional Living LLC
148 East Avenue, Suite 2G, NORWALK, CONNECTICUT, 06851",FAIRFIELD,"621610 /
621610",2020-05-15,Phone,Nonformal,,N-16-COVID-19: ,"The employer has not provided the appropriate personal protective equipment to workers, including gloves and surgical masks.

Employees were required to purchase their own personal protective equipment without reimbursement from the employer.","2/
200",1,62
01-115-00,C-1591870,"K & D Management Pediatric Healthcare Associates
15 Corporate Drive, TRUMBULL, CONNECTICUT, 06611",FAIRFIELD,"561110 /
561110",2020-05-18,Online,Nonformal,,N-16-COVID-19: ,"1.  There have been multiple confirmed positive cases of Covid 19 throughout the Medical Arts Center building in Trumbull, CT. These cases involve onsite staff on all 3 levels of the building and the death of a physician .  

2.  There is a high level of concern around safety & exposure to risk within the building , specifically is regards to the level of cleaning or even lack of.   Inquires have been made, but no clear answers have been provided about consistent commercial/industrial cleaning.  Additionally , there is a major question, as to how often & extensive cleaning & sanitation practices are being done for both the building and medical offices , where people are entering & exiting all day long into the evening .  Lack of attention & response to consistent & effective cleaning practices, especially in a a frontline medical facility , will only a continued risk of unnecessary exposure to this health crisis / global pandemic that we all are trying to protect ourselves from and flatten.","2/
1",1,56
01-115-00,C-1591965,"Plato's Closet
575 Boston Post Road, ORANGE, CONNECTICUT, 06477",NEW HAVEN,"448120 /
448120",2020-05-19,Email,Nonformal,,N-16-COVID-19: ,"1. Employees do not have access to tepid water to wash their hands, only cold water.

2 Personal protective equipment (PPE) including but not limited to N95 white filtering face pieces are not provided to all employees potentially exposed to coronavirus (COVID-19) when employees are required to enter a coronavirus (COVID-19) Unit and social distancing is not being adhere to potentially exposed employees to coronavirus (COVID-19) when using an elevator.
 
3. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to plan and respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees working while showing signs and symptoms of Coronavirus (COVID-19) are potentially exposing and infecting other working employees.

","3/
6",1,44
01-115-00,C-1592196,"St. Vincent's Medical Center - Hartford Healthcare
2800 Main Street, BRIDGEPORT, CONNECTICUT, 06606",FAIRFIELD,"622110 /
622110",2020-05-18,Online,Nonformal,,N-16-COVID-19: ,"1.   Allegedly, the employer had placed the coronavirus (COVID-19) operating room in the main operating room suite and the employer has not provided the employees on their responsibility to take care of coronavirus (COVID-19)  patients verses non (COVID-19) during the day and there is no segregation on patient care by the employees.  The hazard locations where employees will be working with patients tested positive for coronavirus (COVID-19) will be wheeled by the front desks, break rooms, non-coronavirus (COVID-19) operating rooms, and in hallways shared by non-coronavirus (COVID-19) employees. 

2.   The employer had not provided the employees with any training on the requirements for personal protective equipment (PPE) for caring for coronavirus (COVID-19) positive patients. 

3.   The employer had not provided the employees with any training on cleaning and disinfecting in the Intensive Care Unit and floors where patients tested positive for coronavirus (COVID-19).

4.   The employees are exposed to coronavirus (COVID-19) patients when rotating on floors where patients have uncapped trach either on a mask or no support.  The employees are not provided with guidance and or training on exposure from trached patients.

","4/
50",1,62
01-115-00,C-1593623,"Waterbury Outlet LLC DBA Ashley Homestore Outlet
950 Wolcott Street, WATERBURY, CONNECTICUT, 06705",NEW HAVEN,"442110 /
442110",2020-05-21,Online,Nonformal,,N-16-COVID-19: ,"The employer is increasing the risk of employee exposure to SARS-CoV-2 by not following any of the Occupational Safety & Health Administration?s (OSHAO) Guidance for Workers and Employers of Workers at Increased Risk of Occupational Exposure. Such measures include but are not limited to; Identify and Isolate Suspected Cases, Environmental Cleaning and Decontamination, Worker Training, Engineering controls and Personal Protective Equipment Considerations.","1/
1",1,44
01-115-00,C-1593934,"H & L Chevrolet, Inc.
1416 Post Road , DARIEN, CONNECTICUT, 06820",FAIRFIELD,"441110 /
441110",2020-05-21,Phone,Nonformal,,N-16-COVID-19: ,"The employer is increasing the risk of employee exposure to SARS-CoV-2 (Coronavirus ? COVID-19) by not following any of the Occupational Safety & Health Administration?s (OSHA) Guidance for Workers and Employers of Workers at Increased Risk of Occupational Exposure. Such measures include but are not limited to: Identify and Isolate Suspected Cases, Environmental Cleaning and Decontamination, Worker Training, Engineering controls and Personal Protective Equipment Considerations.","1/
1",1,44
01-115-00,C-1595241,"Saks Fifth Avenue
205 Greenwich Avenue, GREENWICH, CONNECTICUT, 06830",FAIRFIELD,"448150 /
448150",2020-05-26,Online,Nonformal,,N-16-COVID-19: ,"Employees are exposed to Covid-19 in that:
1. No masks are provided
2. No hand sanitizer is available","2/
20",1,44
01-115-00,C-1595368,"Hearst Media Services Connecticut, LLC DBA Connecticut Post
600 State Street, BRIDGEPORT, CONNECTICUT, 06604",FAIRFIELD,"511110 /
511110",2020-05-15,Phone,Nonformal,,N-16-COVID-19: ,"The employer does not take the appropriate precautions listed in the CDC Guidelines to prevent transmission of COVID-19 in the workplaces. This includes taking worker temperatures at the beginning of each shift, increasing the distance between employees, and minimizing the number of workers who congregate in the same area.","1/
50",1,51
01-115-00,C-1595525,"People's United Bank
888 White Plains Road, TRUMBULL, CONNECTICUT, 06611",FAIRFIELD,"522120 /
522120",2020-05-26,Online,Nonformal,,N-16-COVID-19: ,"Employees are exposed to Covid-19 in that: 
1. No masks, gloves, or sanitizer are provided 
2. No training on Covid-19 provided.","2/
12",1,52
01-115-00,C-1596799,"Fabrique, LTD
28 School Street, BRANFORD, CONNECTICUT, 06405",NEW HAVEN,"316998 /
453998",2020-05-28,Online,Formal,,N-16-COVID-19: ,The employer is following the Center for Disease Control (CDC) recommended guidelines in relation to the current Covid-19 virus outbreak. ,"/
",1,31
01-115-00,C-1597954,"Lee Transport Systems
100 Wheeler Street, NEW HAVEN, CONNECTICUT, 06512",NEW HAVEN,"484220 /
484220",2020-05-29,Phone,Nonformal,,N-16-COVID-19: ,"1. Company has not implemented risk assessment procedures for Coronavirus (COVID-19) to prevent employee exposure to the virus. 

2. Employees and truck drivers are not provided with cleaning and disinfectant supplies to disinfect trucks potentially contaminated with Coronavirus (COVID-19). 

3. Employees are not provided with proper personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19).","3/
15",1,48
01-115-00,C-1600554,"Premier Dental
85 North Street, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"621210 /
621210",2020-06-04,Online,Nonformal,,N-16-COVID-19: ,"1. Employees are to work return without taking ALL of the proper measures to ensure employee and patient safety.

2. Management has informed staff members that there is no need for an air purification system. 

3. There is an open floor concept and there are no physical barriers present. 

4. Hygienists have been told that there is no need for barriers since they are performing non aerosol producing procedures. 

5. Employees  schedules have not been changed to accommodate the necessary 15 minutes required for droplets to settle. 

6. Personal protective equipment (PPE) including but not limited to N95 white filtering face pieces are not provided to all employees potentially exposed to coronavirus (COVID-19) when employees are required to report in as essential employees, and are not provided with products to clean, and disinfect common office surfaces during the coronavirus (COVID-19) pandemic.

7.  CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to plan and respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees working while showing signs and symptoms of Coronavirus (COVID-19) are potentially exposing and infecting other working employees.

","7/
30",1,62
01-115-00,C-1603255,"Salon Space, LLC
510 Washington Avenue, Unit #5, NORTH HAVEN, CONNECTICUT, 06473",NEW HAVEN,"812112 /
812112",2020-06-10,Online,Nonformal,,N-16-COVID-19: ,"The employer is not following the Center for Disease Control (CDC) recommended
employer?s guidelines in relation to the current Coronavirus (Covid-19) virus outbreak.
","1/
5",1,81
01-115-00,C-1603302,"Vaughn Family Dentistry
2 Corporate Drive, TRUMBULL, CONNECTICUT, 06611",FAIRFIELD,"621210 /
621210",2020-06-08,Online,Nonformal,,N-16-COVID-19: ,"1.  Due to scheduling, employees are not afforded time to go to the restroom, eat, and/or drink water  on scheduled breaks and in between patients. 

2.  Due to scheduling, employees are experiencing ""personal protective equipment (PPE) fatigue"" from continuously wearing PPE for 8-9 hours per day without breaks.  

3.  The employer is not continuously following the Centers for Disease Control and Prevention (CDC) and American Dental Association's (ADA) guidelines and recommendations for dental offices that are actively seeing patients. ","3/
20",1,62
01-115-00,C-1604224,"McDonalds DBA Golden Hawk LLC
I95 Fairfield Southbound , I95 Miliford Northbound, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"722211 /
722211",2020-06-11,Email,Nonformal,,N-16-COVID-19: ,"1. Personal protective equipment (PPE) including but not limited to N95 white filtering face pieces are not provided to all employees potentially exposed to coronavirus (COVID-19) when employees are required to report in as essential employees, and are not provided with products to clean, training and disinfect common office surfaces during the coronavirus (COVID-19) pandemic. 
 
2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to plan and respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees working while showing signs and symptoms of Coronavirus (COVID-19) are potentially exposing and infecting other working employees. 
","2/
10",1,72
01-115-00,C-1604666,"Stop & Shop
100 Division Street, ANSONIA, CONNECTICUT, 06401",NEW HAVEN,"445110 /
445110",2020-06-11,Online,Nonformal,,N-16-COVID-19: ,"Peapod Division 

1. Not all employee (delivery drivers) were placed in quarantine after co-workers tested positive for Covid-19.

2. All employees potentially exposed to coronavirus (COVID-19) when employees are required to report in as essential employees, and are not provided with products to clean, training and disinfect common office surfaces during the coronavirus (COVID-19) pandemic. 
 
3.  CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to plan and respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees working while showing signs and symptoms of Coronavirus (COVID-19) are potentially exposing and infecting other working employees. 



","3/
4",1,44
01-115-00,C-1608121,"Carabetta Management Company
200 Pratt Street, MERIDEN, CONNECTICUT, 06450",NEW HAVEN,"531190 /
531190",2020-06-19,Phone,Nonformal,,N-16-COVID-19: ,"Lack of social distancing, lack of mask wearing enforcement, and concerns about sanitizing the work areas. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
1",1,53
01-115-00,C-1608652,"Hobby Lobby Stores, Inc.
1777 Boston Post Road, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"451120 /
451120",2020-06-20,Online,Nonformal,,N-16-COVID-19: ,"Management does not enforce the store capacity limits. 

The employee break room is only cleaned once a week.

Workers are not able to maintain social distancing when unloading trucks.","3/
20",1,45
01-115-00,C-1608764,"The Black Angus Steakhouse Incorporated DBA Barbaries Black Angus Grill
5 Eagle Road, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"722511 /
722511",2020-06-21,Online,Nonformal,,N-16-COVID-19: ,Workers are not practicing appropriate social distancing.,"1/
10",1,72
01-115-00,C-1608888,"Grocery Village LLC
1050 Brooklawn Avenue, BRIDGEPORT, CONNECTICUT, 06604",FAIRFIELD,"445120 /
445120",2020-06-21,Online,Nonformal,,N-16-COVID-19: ,"Management does not enforce the wearing of facemasks for employees or customers.

No barriers are in place at the register and social distancing is not enforced.","3/
1",1,44
01-115-00,C-1609451,"Constellation Health Services, LLC
14 Westport Avenue, NORWALK, CONNECTICUT, 06851",FAIRFIELD,"621610 /
621610",2020-06-23,Online,Nonformal,,N-16-COVID-19: ,"1) The employer is not following the Center for Disease Control (CDC) recommended employer?s guidelines in relation to the current Coronavirus (Covid-19) virus outbreak. 

2) The employer is not providing personal protective equipment (PPE) in accordance with CDC recommendations. 

3) Employees who were directed to work with Covd-19 positive patients were not informed that the patients had tested positive. ","1/
22",1,62
01-115-00,C-1615342,"Stamford Emergency Medical Services, Inc.
684 Long Ridge Road, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"621910 /
621910",2020-07-01,Online,Formal,1488717.0,N-16-COVID-19: ,"Stamford EMS failed to meet the annual OSHA fit-testing requirement  for respirators (29 CFR 1910.134). Management not to conduct the annual fit testing at the annual mandatory training sessions in approx. June 2019.  As a result, members of SEMS were not up-to-date on their fit testing requirements when COVID-19 crisis started, and some SEMS staff had not been fit tested at all prior to COVID despite being full-time employees exposed to TB, influenza, and other airborne illnesses in a healthcare setting. 

In addition, Stamford EMS provided staff with N95 masks that were of a different make/model/design than the masks which we were (eventually) fit tested, or had been fit tested with in the past. 

To date, numerous full-time and per diem (especially) staff have ridden on 911 ambulance shifts, exposed to COVID-19, WITHOUT being EVER fit tested, let alone annually fit tested as required by OSHA. (I have not been fit tested in some years by SEMS, though ride at least a 12 hour shift or two a month.)  (I believe that many of the volunteer EMT members of SEMS have also likewise NEVER been fit tested for an N95 respirator, but actively ride on 911 ambulances.) 

Stamford EMS suffered a very high rate of personnel with COVID-19 as a result (Up to 1/3 of FT staff infected). 

There are numerous witnesses to this egregious violation of employee safety. A simple comparison of the full time, per diem, and volunteer roster to the fit testing records will illustrate the extraordinary complacency SEMS has when it comes to employee safety. 
","/
",1,62
01-115-00,C-1615435,"Family Dollar
26 Pershing Drive, DERBY, CONNECTICUT, 06418",NEW HAVEN,"452112 /
452112",2020-07-02,Online,Nonformal,,N-16-COVID-19: ,Employee are not properly wearing their face mask,"1/
12",1,45
01-115-00,C-1616480,"Edge Fitness, LLC DBA The Edge Fitness Clubs
1333 East Putnam Avenue, RIVERSIDE, CONNECTICUT, 06878",FAIRFIELD,"713940 /
713940",2020-07-06,Online,Nonformal,,N-16-COVID-19: ,"1) The employer is not following the Center for Disease Control (CDC) recommended employer?s guidelines for in relation to the current Coronavirus (Covid-19) virus outbreak. 
 
2) The employer is not providing personal protective equipment (PPE) in accordance with CDC recommendations. 
   ","1/
10",1,71
01-115-00,C-1619442,"Middlesex Orthopedic Surgeons, PC
14 Saybrook Rd , Suite 100, MIDDLETOWN, CONNECTICUT, 06457",MIDDLESEX,"621111 /
621111",2020-07-09,Phone,Nonformal,,N-16-COVID-19: ,"In the physical therapy department

1. Soap or similar cleaning agents are not consistently available in the restrooms used by the employees. 

2. The employer is disinfecting high touch areas, such as, but limited to,  the biometric time clock, where employees have to touch the time clock with their full bare hand.  

3.  Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines. 
 
4. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.  it is alleged that the employer is not consistently taking the temperatures of staff and patients who enter the facility. 
","4/
10",1,62
01-115-00,C-1624434,"NICKERSON GENERAL CONTRACTORS
226 Evansville Avenue, MERIDEN, CONNECTICUT, 06451",NEW HAVEN,"237110 /
237110",2020-07-15,Phone,Nonformal,,N-16-COVID-19: ,"Workers do not wear face coverings when they are in close proximity.

Workers do not practice social distancing whenever possible.","2/
10",1,23
01-115-00,C-1624511,"Geronimo Tequila Bar and Southwest Grill
271 Crown Street, NEW HAVEN, CONNECTICUT, 06510",NEW HAVEN,"722110 /
722110",2020-07-15,Online,Nonformal,,N-16-COVID-19: ,Kitchen staff do not follow social distancing and do not wear face coverings.,"2/
10",1,72
01-115-00,C-1626845,"Ridgefield Cosmetic & General Dentistry
65 Danbury Road, RIDGEFIELD, CONNECTICUT, 06877",FAIRFIELD,"621210 /
621210",2020-07-21,Online,Nonformal,,N-16-COVID-19: ,"1.   The employer had not provided the employees with any available masks while working in the dental office used for the protection of coronavirus (COVID-19).
2.   The office and the restrooms have not been cleaned and disinfected in accordance with Center 
of Disease Control (CDC) guidelines for the protection of coronavirus (COVID-19).
3.   Employees who have traveled out of the State of CT and into a high infectious state with coronavirus (COVID-19) and returned to CT are not quarantining.
4.   The employer is not notifying the employees who had close contact with employees traveling from high infectious state with coronavirus (COVID-19) for any coronavirus (COVID-19) testing.
5.   The employer had not posted the OSHA poster for the employees.


","5/
5",1,62
01-115-00,C-1632020,"Contractor Nation
60 Silvermine Road, SEYMOUR, CONNECTICUT, 06483",NEW HAVEN,"238910 /
238910",2020-07-23,Online,Nonformal,,N-16-COVID-19: ,"1.Employees are not provided with face masks/face coverings. Additionally, a company policy, procedures and/or or instructions have not been developed and implemented along with employee training to prevent exposure to Coronavirus (COVID-19).

2.Social distance policies including risk assessment procedures have not been developed and implemented related to COVID-19.
","2/
192",1,23
01-115-00,C-1634821,"Cumberland Farms Inc
975 Kings Highway East, FAIRFIELD, CONNECTICUT, 06825",FAIRFIELD,"447110 /
447110",2020-07-31,Online,Nonformal,,N-16-COVID-19: ,"The employer does not enforce requirements for customers to wear masks and social distance, and has removed signs stating that masks are required in the store.","2/
3",1,44
01-115-00,C-1634851,"LA Fitness International LLC
52 6th Street, STAMFORD, CONNECTICUT, 06905",FAIRFIELD,"713940 /
713940",2020-07-30,Online,Nonformal,,N-16-COVID-19: ,"The employer does not enforce the face mask wearing rule for customers and employees.

Social distancing measures have not been implemented such as spreading machines apart and limiting the capacity of the establishment. Appropriate social distancing is not practiced.","2/
5",1,71
01-115-00,C-1635719,"Joey's By The Shore
222 Hillpoint Road, WESTPORT, CONNECTICUT, 06880",FAIRFIELD,"722511 /
722511",2020-08-01,Online,Nonformal,,N-16-COVID-19: ,"1.   The employer had not conducted cleaning, disinfecting and sanitation of the facility for the employees in accordance with Center of Disease Control (CDC) guidelines for the protection of coronavirus (COVID-19).
2.   The employer had not provided the employees with any available masks while working in the facility used for the protection of coronavirus (COVID-19).
3.   The employer had not conducted any training for the employees in accordance with CDC guidelines and OSHA guidelines.
4.   The employer had not conducted staggering of employee shifts.
5.   The employer had not provided the employees with plexiglass while working with customers.
","5/
10",1,72
01-115-00,C-1643961,"Eurest Services INC
1201 South Avenue, BRIDGEPORT, CONNECTICUT, 06604",FAIRFIELD,"561210 /
561210",2020-08-12,Phone,Nonformal,,N-16-COVID-19: ,"Employees of the cafe do not wear face coverings.

The cafeteria tables have not been spread out and customers bring chairs into the cafeteria, preventing appropriate distancing.","2/
20",1,56
01-115-00,C-1644027,"Luvata Waterbury, Inc.
2121 Thomaston Ave., WATERBURY, CONNECTICUT, 06704",NEW HAVEN,"335929 /
335929",2020-08-12,Online,Nonformal,,N-16-COVID-19: ,"Proper COVID-19 precautions are not being taken, deficiencies include: 

-not always maintaining the proper six foot social distancing 
-employees and management not wearing face masks or coverings 
-employees attending training in areas too small to maintain social distancing 
-pre-shift temperature screening is no completed by all workers
-all surfaces throughout the workplace are not disinfected","3/
50",1,33
01-115-00,C-1644610,"Levco Tech Inc. DBA Levco Oil
55 Merrit Boulivard , TRUMBULL, CONNECTICUT, 06611",FAIRFIELD,"454311 /
454311",2020-08-17,Online,Nonformal,,N-16-COVID-19: ,"Social distancing and face covering is not enforced increasing the likelihood of spreading the corona virus
Employees are allowed to continue at work after showing signs of being sick and coughing. ","2/
2",1,45
01-115-00,C-1644775,"Milford Medical Care Center
889 Bridgeport Avenue, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"622110 /
622110",2020-08-17,Phone,Nonformal,,N-16-COVID-19: ,"Partitions are not set up to separate clients who are on site for COVID-19 Testing and the employees.
Employees were not provided PPE when requested to prevent the transmission of  SARS-CoV-2 ","2/
5",1,62
01-115-00,C-1648684,"Raymour & Flanigan
184 Benton Street, STRATFORD, CONNECTICUT, 06615",FAIRFIELD,"442110 /
442110",2020-08-23,Online,Nonformal,,N-16-COVID-19: ,"1.  Unreported electrical fire on site.
2. Employees are driving the lifts in operation while on their phones.
3. Fire extinguisher was ruptured by an employee driving a lift , a fire extinguisher went off and was not cleaned or reported.
4. Multiple COVID-19 coronavirus violations and unreported cases, including temperature checks, lack of face coverings, and building not sanitized.
5.  Faulty electrical wiring throughout the facility.
6.  Improper ventilation in the facility.
","6/
2",1,44
01-115-00,C-1649435,"Ashcroft Inc.
250 East Main Street, Return Center Area, STRATFORD, CONNECTICUT, 06614",FAIRFIELD,"334513 /
334513",2020-08-25,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees / Supervisor have tested positive for Coronavirus (COVID-19) and the facility has not been cleaned or disinfected in accordance with CDC Guidelines. Additionally, employees are not provided with cleaning and disinfectant supplies that meet EPA?s criteria for use against SARS-Cov-2.

2. Employees are provided with personal protective equipment (PPE) such as but not limited to facemask, but are not trained to wear properly in accordance with CDC Guidelines for Businesses and Employers to prevent exposure to coronavirus (COVID-19).  Employee are not enforced to use the face mask at all time.","2/
6",1,33
01-115-00,C-1651836,"The Quill Group
525 John Street, BRIDGEPORT, CONNECTICUT, 06604",FAIRFIELD,"541330 /
541330",2020-08-28,Online,Nonformal,,N-16-COVID-19: ,"The employer does not enforce guidelines including social distancing when possible, wearing facial coverings when in close proximity to others, and limiting the amount of people allowed in smaller spaces.","2/
15",1,54
01-115-00,C-1652990,"Westville Family Dental
881 Whalley Avenue, NEW HAVEN, CONNECTICUT, 06506",NEW HAVEN,"621210 /
621210",2020-08-31,Online,Nonformal,,N-16-COVID-19: ,"1. Reception area does not have a plexiglass in place to prevent Employee from Corona Virus (COVID-19) exposure.

2. No hand sanitizer available in the reception area for employee use.","2/
5",1,62
01-115-00,C-1653063,"Ria's Restaurant & Apizza
1015 Meriden Road, WATERBURY, CONNECTICUT, 06705",NEW HAVEN,"722110 /
722110",2020-08-31,Online,Nonformal,,N-16-COVID-19: ,"1. The employer is not enforcing kitchen staff workers the use of facemasks and/or face covering while working in the kitchen. 

2. Restaurant tables are not set at least six (6) feet apart and the employer is not implementing the social distance regulations in accordance to the CDC Guidance for Business and Employers to prevent exposure to coronavirus (COVID-19). 

3. Employer has not perform or implemented a risk assessment to prevent employees from COVID-19 exposure.","3/
10",1,72
01-115-00,C-1653469,"Bami, LLC DBA Marios Pizzeria
123 Cherry Street, NAUGATUCK, CONNECTICUT, 06770",NEW HAVEN,"722511 /
722511",2020-09-01,Online,Nonformal,,N-16-COVID-19: ,Employees may not be wearing or improperly wearing Personnel Protective Equipment (PPE) such as but not limited to masks used to prevent the transmission of SARS-CoV-2 (COVID-19).,"1/
3",1,72
01-115-00,C-1653702,"United States Postal Service
23 Backus Avenue, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"491110 /
491110",2020-08-28,Phone,Nonformal,,N-16-COVID-19: ,Employees do not social distance when working on the main floor.,"1/
10",1,49
01-115-00,C-1656439,"Greenview Sprinkler Systems, LLC
30 Sheephill Road, RIVERSIDE, CONNECTICUT, 06878",FAIRFIELD,"561730 /
561730",2020-09-05,Online,Nonformal,,N-16-COVID-19: ,"Employees are told to wear face masks to prevent the transmission of Coronavirus Disease 2019, however some employees refuse to wear the masks.","1/
20",1,56
01-115-00,C-1659754,"1126 Middlebury Road Garage, LLC DBA Middlebury Garage
1126 Middlebury Road, MIDDLEBURY, CONNECTICUT, 06762",NEW HAVEN,"811198 /
811198",2020-09-15,Online,Nonformal,,N-16-COVID-19: ,"Employer is not following the ""Employer's Responsibilities"" in relation to Covid-19 that is set out by the Center for Disease Control (CDC). The Employer is not providing and requiring the use of Personal Protective Equipment (PPE) for Employees who may be exposed to the Covid-19 virus. ","1/
4",1,81
01-120-00,C-1546337,"GoHealth Urgent Care
624 W. Main Street, NORWICH, CONNECTICUT, 06360",NEW LONDON,"621111 /
621111",2020-02-24,Online,Nonformal,,N-16-COVID-19: ,"Employees are working without having access to appropriate personal protective equipment (e.g., N-95 respirators) and are being exposed to viruses such as coronavirus and flu.
","1/
15",1,62
01-120-00,C-1551015,"U.S. Postal Service Distribution Center
141 Weston Street, HARTFORD, CONNECTICUT, 06101",HARTFORD,"491110 /
491110",2020-03-09,Online,Formal,,N-16-COVID-19: ,"Employees may be exposed to COVID-19 because the custodial staff is not cleaning bathrooms, door knobs, handles, and other surfaces such as keyboards on a regular basis.

In your response, please provide information on cleaning schedules and the hazard evaluations done to assess the potential for COVID-19 exposure.","/
",1,49
01-120-00,C-1553091,"Aero-Med, Ltd
85 Commerce Street, GLASTONBURY, CONNECTICUT, 06033",HARTFORD,"446199 /
446199",2020-03-16,Phone,Nonformal,,N-16-COVID-19: ,1.  Employees are not allowed to wear personal protective equipment on a voluntary basis or clean surfaces using disinfecting wipes during COVID-19 outbreak.,"2/
90",1,44
01-120-00,C-1553482,"European Wax Center
2529 Albany Avenue, WEST HARTFORD, CONNECTICUT, 06117",HARTFORD,"812199 /
812199",2020-03-16,Phone,Nonformal,,N-16-COVID-19: ,Employees working in close proximity to client are not provided personal protective equipment or appropriate training on the hazards of COVID-19 virus.,"2/
10",1,81
01-120-00,C-1553875,"General Dynamics Electric Boat
75 Eastern Point Road, GROTON, CONNECTICUT, 06340",NEW LONDON,"336611 /
336611",2020-03-17,Hotline,Nonformal,,N-16-COVID-19: ,"1.  Employees are required to report to work and are working in close proximity to each other.  The company is not practicing social distancing to reduce the spread of COVID-19.  

COVID-19 guidelines can be found at the OSHA, WHO and CDC websites including Interim Guidance for Businesses and Employers to Plan, Prepare and Respond to Coronavirus Disease which is available at the CDC website.","1/
100",1,33
01-120-00,C-1553921,"Social Security Administration
960 Main Street, Second Floor, HARTFORD, CONNECTICUT, 06103",HARTFORD,"923130 /
923130",2020-03-17,Online,Nonformal,,N-16-COVID-19: ,"The Social Security Administration is intentionally placing employees in an unsafe and potentially deadly work environment by failing to implement even minimal safeguards for their employees, actively prohibiting employees from taking reasonable precautions to protect themselves and creating an environment of confusion and uncertainty by refusing to provide management personnel and employees with adequate written standards and guidance with regards to dealing with the current COVID-19 outbreak.  Some examples include:

1.  Nothing has been done to encourage the public to conduct transactions over the phone and employees have been issued directives to not encourage the public to use this option.

2.  Employees are required to provide in-person, close-proximity service to individuals who are displaying flu-like symptoms.

3.  Flexible working arrangements such as telework is not being expanded, although the technology exists to allow it to be used.


Worksites located at:

1320 Main Street, Suite 19, Willimantic, Connecticut
2 Shaws Cove, Room 101, New London, Connecticut
960 Main Street, Second Floor, Hartford, Connecticut
55 Main Street, Suite 380, Norwich, Connecticut


","1/
45,000",1,92
01-120-00,C-1554119,"New England Tractor Training School
32 Field Road, SOMERS, CONNECTICUT, 06071",TOLLAND,"611519 /
611519",2020-03-17,Phone,Nonformal,,N-16-COVID-19: ,"1. The facility is not being cleaned thoroughly, especially the rest rooms.","1/
10",1,61
01-120-00,C-1554145,"Owens Realty Services
Two Rivers Magnet School, 377 East River Drive, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"561210 /
561210",2020-03-17,Phone,Nonformal,,N-16-COVID-19: ,"The employer had not implemented adequate measures to protect employees against the Corona virus in that:

1.  Employees who are sick are being allowed to come to work.

2.  No disinfectant is provided.

3.  No personal protective equipment is provided.

4.  Employees and supervisors are coming in from other sites, potentially exposing employees to the Corona virus.

5.  In addition to the lack of personal protective equipment for COVID-19, personal protective equipment is not being provided for strong chemicals, such as floor stripper.

In your response, please include a copy of a SDS for the floor stripper used and describe what personal protective equipment is provided to employees for that task.

","5/
10",1,56
01-120-00,C-1554335,"Electro-Methods, Inc.
330 Governors Highway, SOUTH WINDSOR, CONNECTICUT, 06074",HARTFORD,"336412 /
336412",2020-03-17,Phone,Nonformal,,N-16-COVID-19: ,"The employer requires that employees perform a hand scan each time they report to work and punch out for lunch.  There are approximately 200 employees who use the same hand scanner.  The scanner is not disinfected in between uses and when employees scan out at the end of the day, they normally proceed to their cars without washing their hands.  The requirement to use to the hand scanner is increasing the risk of COVID-19 transmission between employees.","1/
200",1,33
